Time,Calculated Load,Intake Temp.,Long Term FT,Vehicle Speed,MAF Voltage,Mass Airflow (g/s),Boost,Boost Air Temp.,Throttle Position,Wastegate Duty,Actual AFR,Engine Speed,Fuel Inj. Amt.,HPFP Actual Press.,HPFP Desired Press.,Inj. Duty Cycle,Short Term FT,Intake Valve Adv.,Knock Retard,Spark Adv.
0.120,0.21,47,-7.03,62,1.73,10,-0.67,69,6,0,1.02,2364,0.84,3330,3580,2.25,-7.81,0,0.00,52.50
0.244,0.21,47,-7.03,62,1.74,11,-0.67,69,6,0,1.01,2380,0.83,3460,3580,2.30,-5.47,0,0.00,52.50
0.360,0.22,47,-7.03,62,1.74,10,-0.67,69,6,0,1.00,2381,0.83,3510,3580,2.30,-7.03,0,0.00,52.50
0.481,0.22,47,-7.03,62,1.75,11,-0.66,69,6,0,1.00,2351,0.85,3430,3580,2.27,-7.03,0,0.00,52.50
0.603,0.22,47,-7.03,62,1.74,11,-0.67,69,6,0,1.02,2387,0.83,3560,3580,2.31,-6.25,0,0.00,52.50
0.721,0.22,47,-7.03,62,1.76,11,-0.67,69,6,0,1.00,2368,0.84,3560,3580,2.29,-7.03,0,0.00,52.50
0.841,0.22,47,-7.03,62,1.75,11,-0.67,69,6,0,0.99,2391,0.82,3720,3450,2.27,-7.03,0,0.00,52.50
0.961,0.22,47,-7.03,62,1.75,11,-0.67,69,6,0,1.01,2381,0.83,3410,3580,2.30,-7.03,0,0.00,52.50
1.080,0.22,47,-7.03,62,1.74,10,-0.67,69,6,0,1.00,2359,0.83,3560,3580,2.28,-7.03,0,0.00,52.50
1.200,0.22,47,-7.03,62,1.74,11,-0.67,69,6,0,0.99,2391,0.83,3530,3580,2.31,-7.03,0,0.00,52.50
1.321,0.22,47,-7.03,62,1.76,11,-0.67,69,6,0,1.00,2378,0.83,3460,3580,2.30,-7.81,0,0.00,52.50
1.444,0.22,47,-7.03,62,1.74,10,-0.67,69,6,0,0.99,2385,0.81,3670,3450,2.31,-7.81,0,0.00,52.50
1.560,0.21,47,-7.03,62,1.75,11,-0.67,69,6,0,0.99,2383,0.82,3410,3450,2.26,-7.81,0,0.00,52.50
1.684,0.21,47,-7.03,62,1.74,10,-0.67,69,6,0,1.00,2387,0.83,3500,3580,2.27,-7.81,0,0.00,52.50
1.801,0.22,47,-7.03,62,1.75,10,-0.67,69,6,0,1.02,2402,0.84,3450,3580,2.28,-7.81,0,0.00,52.50
1.920,0.22,47,-7.03,62,1.71,11,-0.67,69,6,0,1.01,2386,0.76,3460,2970,2.31,-7.03,0,0.00,52.50
2.041,0.20,47,-7.03,62,1.63,9,-0.71,69,5,0,0.98,2374,0.68,3650,2970,1.98,-7.81,0,0.00,52.50
2.162,0.23,47,-7.03,62,1.89,13,-0.63,69,9,0,0.96,2351,1.07,3090,2010,2.23,-10.16,0,0.00,52.50
2.280,0.32,47,-7.03,62,2.00,16,-0.52,69,10,0,1.00,2317,1.25,2900,5220,3.17,-10.94,0,0.00,45.50
2.401,0.26,47,-7.03,62,2.24,10,-0.48,69,11,9,1.05,2360,2.78,5500,11920,3.30,3.91,0,0.00,49.00
2.521,0.63,47,1.56,62,1.86,46,-0.28,69,21,0,1.19,2356,1.33,7210,7820,7.03,-7.03,0,0.00,24.50
2.641,0.39,47,0.00,62,1.49,10,-0.63,69,5,0,0.98,2599,0.50,11960,2970,2.56,6.25,1,0.00,40.00
2.761,0.11,47,-7.03,61,1.47,5,-0.76,68,3,0,0.97,2936,0.45,10910,2970,1.47,0.00,0,0.00,52.50
2.881,0.13,47,-7.03,61,1.79,10,-0.79,68,4,0,0.94,3029,0.73,10610,2970,1.92,-2.34,0,0.00,52.50
3.002,0.18,47,-7.03,61,1.90,13,-0.79,68,4,0,0.95,3073,0.86,10250,3720,2.77,-4.69,0,0.00,52.50
3.121,0.21,47,-7.03,61,1.97,14,-0.78,68,4,0,0.96,3069,0.97,9820,5090,3.22,-4.69,0,0.00,52.50
3.241,0.24,47,-7.03,61,1.97,16,-0.77,68,4,0,0.94,3061,0.95,9390,5290,3.37,-6.25,0,0.00,52.50
3.361,0.26,47,-7.03,60,1.99,16,-0.76,68,4,0,0.91,3049,0.95,8450,5910,3.35,-12.50,0,0.00,52.50
3.481,0.29,47,-7.03,60,2.06,19,-0.71,68,7,0,0.89,3037,1.20,7940,7890,3.80,-15.63,0,0.00,50.00
3.601,0.34,47,1.56,60,2.08,22,-0.69,69,7,0,0.77,3044,1.26,7440,8090,4.36,-25.00,0,0.00,49.50
3.721,0.36,47,1.56,60,2.07,21,-0.67,69,7,0,0.77,3019,1.27,8090,8160,4.33,-25.00,0,0.00,46.00
3.841,0.35,47,1.56,60,2.08,20,-0.67,69,8,0,0.79,3038,1.29,8010,8300,4.51,-25.00,0,0.00,45.50
3.961,0.36,47,1.56,60,2.06,21,-0.64,69,8,0,0.80,3000,1.30,8200,8500,4.50,-25.00,0,0.00,54.00
4.085,0.37,47,1.56,60,2.08,21,-0.61,69,9,0,0.82,3029,1.28,8150,8300,4.54,-25.00,0,0.00,52.50
4.201,0.36,47,1.56,60,2.08,22,-0.59,69,9,0,0.84,3035,1.29,8350,8370,4.55,-25.00,0,0.00,54.00
4.321,0.37,47,1.56,60,2.07,22,-0.56,69,10,0,0.88,3043,1.21,8330,7750,4.56,-25.00,0,0.00,53.50
4.448,0.35,47,1.56,60,2.05,20,-0.54,69,10,0,0.95,3066,1.21,8400,7820,4.19,-25.00,0,0.00,55.00
4.562,0.34,47,1.56,60,2.05,20,-0.50,69,11,0,1.10,2915,1.46,7820,8030,4.37,-20.31,0,0.00,59.00
4.681,0.38,47,1.56,60,2.13,24,-0.47,69,12,0,1.25,3087,1.61,7800,8640,5.81,-7.81,0,0.00,54.00
4.807,0.38,47,1.56,59,2.08,24,-0.46,69,12,0,1.09,3117,1.69,8670,8780,5.71,-11.72,0,0.00,50.50
4.922,0.39,46,1.56,60,2.15,24,-0.43,69,12,0,1.08,2961,1.82,8620,9190,5.92,-9.38,0,0.00,51.00
5.051,0.41,46,1.56,60,2.16,25,-0.40,69,13,0,1.09,3085,1.94,9430,9260,6.58,-3.91,0,0.00,50.50
5.172,0.42,46,1.56,60,2.20,26,-0.38,69,13,0,1.07,2988,2.00,9200,9320,6.82,-1.56,1,0.00,51.00
5.294,0.42,46,1.56,60,2.27,27,-0.34,69,14,0,1.04,3088,2.15,9380,9600,7.21,0.00,3,0.00,50.50
5.412,0.44,46,1.56,61,2.29,29,-0.31,68,15,0,1.05,3028,2.18,9510,9800,7.77,3.13,5,0.00,50.50
5.531,0.45,46,0.00,61,2.31,29,-0.30,68,15,0,1.03,3081,2.31,9800,10080,7.91,0.00,6,0.00,50.00
5.653,0.51,46,0.00,61,2.37,36,-0.27,68,17,0,1.04,3099,2.65,10250,10900,8.68,7.03,6,0.00,47.00
5.771,0.54,46,0.00,61,2.43,37,-0.21,68,17,0,1.00,3093,2.79,10810,11380,9.59,7.03,11,0.00,43.00
5.892,0.57,46,0.00,61,2.45,39,-0.19,68,18,0,0.98,3115,2.98,11560,12060,10.38,7.03,15,0.00,41.00
6.014,0.61,46,0.00,62,2.48,43,-0.16,68,18,0,0.95,3121,3.09,12230,12060,10.92,6.25,16,0.00,38.50
6.131,0.64,46,0.00,62,2.52,46,-0.13,68,19,0,0.95,3142,3.11,12310,12060,11.31,4.69,20,0.00,37.00
6.252,0.65,46,0.00,63,2.54,47,-0.13,68,19,0,0.96,3175,3.13,12310,12060,11.43,3.91,21,0.00,35.50
6.374,0.67,46,0.00,63,2.57,49,-0.10,68,19,0,0.98,3205,3.18,12160,12060,11.75,3.91,21,0.00,34.00
6.492,0.67,46,0.00,63,2.61,50,-0.08,68,19,0,1.01,3211,3.27,12280,12060,11.93,3.91,21,0.00,33.50
6.612,0.69,46,0.00,64,2.65,52,-0.06,68,20,0,1.02,3226,3.40,12350,12060,12.37,4.69,22,0.00,32.50
6.733,0.71,46,0.00,64,2.75,54,-0.01,68,20,1,1.02,3247,3.80,11960,12060,13.10,5.47,22,0.00,30.00
6.851,0.82,46,0.00,65,2.84,69,0.06,68,22,0,1.03,3300,4.14,12010,12060,15.07,7.03,21,0.00,18.50
6.971,0.85,46,0.00,66,2.88,71,0.10,67,22,0,0.99,3319,4.66,11940,12060,16.04,6.25,21,0.00,16.50
7.093,0.93,46,0.00,66,3.00,80,0.20,66,25,0,0.98,3350,5.37,12180,12060,19.21,7.81,21,0.00,14.50
7.211,1.01,46,0.00,66,3.05,88,0.26,66,25,0,0.91,3411,5.90,12080,12060,22.17,6.25,20,0.35,12.50
7.332,1.06,46,0.00,68,3.11,91,0.32,66,24,0,0.86,3412,6.39,12370,12060,23.88,6.25,19,0.35,11.50
7.453,1.12,46,0.00,69,3.12,97,0.36,64,23,0,0.84,3485,6.38,12280,12060,25.91,5.47,19,0.35,11.00
7.572,1.12,46,0.00,70,3.14,99,0.40,64,24,0,0.84,3530,6.53,12400,12060,26.65,6.25,18,0.00,11.50
7.692,1.11,46,0.00,70,3.04,97,0.34,64,22,0,0.84,3561,5.49,12350,12060,26.47,6.25,18,0.00,11.50
7.813,1.02,46,0.00,71,2.95,82,0.24,63,20,0,0.88,3587,4.85,12430,12060,21.16,5.47,18,0.00,13.00
7.942,0.94,46,0.00,72,2.94,79,0.20,63,20,0,0.94,3620,4.52,12200,12060,19.55,7.03,18,0.00,15.00
8.061,0.89,46,0.00,73,2.96,80,0.20,63,20,0,0.98,3677,4.53,12450,12060,19.43,7.81,18,0.00,16.50
8.184,0.89,46,0.00,74,2.98,80,0.20,62,20,0,0.97,3717,4.62,12040,12060,19.58,8.59,18,0.00,16.50
8.301,0.90,46,0.00,74,2.99,83,0.20,62,20,0,0.96,3735,4.69,12180,12060,19.92,8.59,19,0.00,16.50
8.422,0.91,46,0.00,74,3.01,85,0.21,62,20,0,0.95,3765,4.74,12470,12060,20.71,8.59,17,0.00,16.00
8.543,0.91,46,0.00,75,3.00,85,0.21,61,20,0,0.95,3790,4.70,12160,12060,20.59,7.81,17,0.00,16.00
8.673,0.91,46,0.00,76,3.02,86,0.21,61,20,0,0.95,3834,4.63,12230,12060,20.96,7.81,16,0.00,16.50
8.812,0.90,46,0.00,77,3.02,85,0.20,61,20,0,0.95,3870,4.57,12210,12060,20.64,7.81,16,0.00,16.50
8.932,0.89,46,0.00,77,3.02,86,0.21,61,20,0,0.95,3888,4.55,12420,12060,20.54,7.81,17,0.00,17.00
9.058,0.89,46,0.00,78,3.01,87,0.21,61,20,0,0.95,3947,4.57,12300,12060,20.79,7.81,17,0.00,17.00
9.172,0.89,46,0.00,78,3.03,88,0.21,61,20,0,0.95,3973,4.51,11920,12060,21.06,7.81,16,0.00,17.50
9.292,0.89,46,0.00,79,3.04,88,0.21,60,20,0,0.96,3998,4.61,12180,12060,21.52,8.59,16,0.00,17.50
9.403,0.90,46,0.00,80,3.05,90,0.21,60,20,0,0.95,4017,4.55,12040,12060,21.49,7.81,15,0.00,17.50
9.522,0.89,46,0.00,80,3.05,88,0.21,60,20,0,0.95,4052,4.53,11900,12060,21.48,7.81,15,0.00,17.50
9.642,0.88,46,0.00,80,3.05,88,0.21,60,20,0,0.96,4072,4.52,12110,12060,21.31,8.59,15,0.00,17.50
9.763,0.88,46,0.00,81,3.05,88,0.21,60,20,0,0.95,4126,4.54,12110,12060,21.52,7.81,15,0.00,18.00
9.882,0.88,46,0.00,82,3.05,90,0.21,60,20,0,0.95,4137,4.58,12330,12060,21.79,8.59,14,0.00,18.00
10.002,0.89,46,0.00,82,3.09,92,0.22,60,21,0,0.95,4171,4.73,12370,12060,22.52,8.59,13,0.00,18.00
10.124,0.90,46,0.00,82,3.08,93,0.22,59,21,0,0.94,4188,4.64,12330,12060,22.75,8.59,14,0.00,17.50
10.243,0.89,46,0.00,83,3.10,93,0.23,59,21,0,0.95,4221,4.63,12250,12060,22.65,7.81,14,0.00,17.50
10.362,0.89,46,0.00,84,3.08,93,0.22,59,21,0,0.95,4264,4.54,12280,12060,22.60,7.81,13,0.00,18.00
10.483,0.88,46,0.00,85,3.08,94,0.22,59,21,0,0.95,4288,4.52,12470,12060,22.44,7.81,12,0.00,18.00
10.612,0.88,46,0.00,85,3.08,93,0.22,59,21,0,0.95,4308,4.66,12080,12060,22.69,7.81,13,0.00,18.00
10.732,0.90,46,0.00,85,3.11,96,0.23,59,21,0,0.94,4338,4.48,12180,12060,23.50,7.81,12,0.00,18.00
10.859,0.87,46,0.00,87,3.09,93,0.22,59,21,0,0.95,4384,4.46,12310,12060,22.65,7.81,12,0.00,18.50
10.973,0.89,46,0.00,87,3.12,97,0.23,59,21,0,0.95,4407,4.51,12550,12060,23.50,7.81,12,0.00,18.50
11.113,0.87,46,0.00,88,3.09,94,0.21,59,21,0,0.95,4433,4.42,12250,12060,22.83,7.81,11,0.00,18.50
11.232,0.86,46,0.00,88,3.11,94,0.21,59,21,0,0.95,4441,4.43,12230,12060,22.65,7.81,10,0.00,19.00
11.353,0.88,46,0.00,89,3.13,98,0.23,59,21,0,0.95,4491,4.57,11870,12060,23.50,7.81,12,0.00,19.00
11.472,0.87,46,0.00,89,3.11,95,0.23,59,21,0,0.94,4515,4.47,12020,12060,23.55,7.81,11,0.00,19.00
11.594,0.87,46,0.00,89,3.12,96,0.23,59,21,0,0.95,4537,4.48,12330,12060,23.67,7.81,10,0.00,17.00
