Time (sec),Accel. Pedal Pos. (%),Actual AFR (AFR),Boost (psi),Boost Air Temp. (F),Calculated Load (Load),Coolant Temp. (F),HPFP Act. Press. (psi),Inj. Duty Cycle (%),Intake Temp. (F),Intake Valve Adv. (°),Knock Retard (°),Long Term FT (%),MAF Voltage (V),Mass Airflow (g/s),RPM (RPM),Short Term FT (%),Spark Adv. (°),Throttle Position (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-MAZ-002 v1.7.3.1-16781][USDM 2011-2013 MAZDASPEED3 (Cali.)][Reflash: STRATIFIED 91 Stg2 FT MAZ V3.00.NEC.NTC.LIN - Andrew Dueck  - Order 29364.ptm]
0,18,14.99,-4.94,95,0.41,189,1333,5.35,73,0,0,-3.91,1.94,22.17,2542,0,48.5,12,32,0,0
0.004,18,14.85,-5.02,95,0.41,189,1320,5.33,73,0,0,-3.91,1.94,21.7,2548,0,48.5,12,32,0,0
0.016,18,14.85,-5.09,95,0.41,189,1326,5.32,73,0,0,-3.91,1.95,22.49,2556,0,48.5,12,32,0,0
0.033,18,14.85,-5.02,95,0.41,189,1334,5.32,73,0,0,-3.91,1.94,22.01,2560,0,48.5,12,32,0,0
0.035,18,14.85,-5.02,95,0.41,189,1298,5.33,73,0,0,-3.91,1.95,22.17,2562,0,48.5,12,32,0,0
0.079,18,14.85,-5.09,95,0.41,189,1327,5.33,73,0,0,-3.91,1.95,22.17,2563,0,48.5,12,32,0,0
0.132,18,14.85,-5.09,95,0.41,189,1323,5.36,73,0,0,-3.91,1.95,22.01,2576,0,48,12,32,0,0
0.199,18,14.85,-5.02,95,0.41,189,1333,5.38,73,0,0,-3.91,1.95,22.49,2585,0,48,12,32,0,0
0.246,18,14.85,-5.09,95,0.41,189,1323,5.42,73,0,0,-3.91,1.96,22.65,2592,0,48,12,32,0,0
0.305,18,14.85,-5.09,95,0.41,189,1320,5.42,73,0,0,-3.91,1.97,22.65,2588,0,48,12,32,0,0
0.36,18,14.85,-4.94,95,0.41,189,1323,5.46,73,0,0,-3.91,1.96,22.17,2592,0,48,13,32,0,0
0.426,19,14.85,-4.87,95,0.41,189,1310,5.49,73,0,0,-3.91,1.99,23.2,2604,0,47.5,13,33,0,0
0.484,19,14.99,-4.66,95,0.42,189,1350,5.61,73,0,0,-3.91,2.01,23.94,2615,0.78,47,13,33,0,0
0.523,19,14.99,-4.66,95,0.42,189,1334,5.7,73,0,0,-3.91,2.02,24.14,2623,0.78,46.5,13,33,0,0
0.577,19,14.85,-4.59,95,0.43,189,1368,5.78,73,0,0,-3.91,2.01,23.94,2626,0.78,46.5,13,33,0,0
0.638,19,14.85,-4.51,95,0.43,189,1358,5.78,73,0,0,-3.91,2.01,24.14,2627,0.78,46,13,33,0,0
0.706,19,14.85,-4.59,95,0.43,189,1362,5.79,73,0,0,-3.91,2,23.94,2632,0.78,46,13,33,0,0
0.74,19,14.85,-4.66,95,0.42,189,1368,5.74,73,0,0,-3.91,2,23.62,2640,0.78,46,13,33,0,0
0.799,19,14.85,-4.73,95,0.42,189,1355,5.71,73,0,0,-3.91,1.99,23.48,2644,0.78,46.5,13,33,0,0
0.855,17,14.85,-4.73,95,0.42,189,1350,5.72,73,0,0,-3.91,1.99,23.48,2648,0.78,46,12,34,0,0
0.927,17,14.85,-5.09,95,0.4,189,1340,5.64,73,0,0,-3.91,1.94,21.7,2660,0.78,46.5,12,34,0,0
0.964,17,14.7,-5.3,95,0.4,189,1313,5.42,73,0,0,-3.91,1.93,21.54,2659,0,47.5,12,34,0,0
1.011,17,14.55,-5.38,95,0.4,189,1291,5.32,73,0,0,-3.91,1.94,21.7,2662,0,48,12,34,0,0
1.076,17,14.55,-5.52,95,0.39,189,1273,5.34,73,0,0,-3.91,1.94,21.86,2669,0,48,12,34,0,0
1.124,17,14.55,-5.45,95,0.39,189,1271,5.36,73,0,0,-3.91,1.94,21.86,2678,-0.78,47.5,12,34,0,0
1.18,17,14.7,-5.52,95,0.39,189,1295,5.29,73,0,0,-3.91,1.95,22.01,2683,-0.78,48,12,34,0,0
1.244,17,14.7,-5.59,95,0.39,189,1266,5.3,73,0,0,-3.91,1.94,21.7,2685,-0.78,47.5,12,34,0,0
1.304,17,14.7,-5.52,95,0.39,189,1268,5.31,72,0,0,-3.91,1.94,21.54,2690,-0.78,48,12,34,0,0
