Time,Calculated Load,Intake Temp.,Long Term FT,Vehicle Speed,MAF Voltage,Mass Airflow (g/s),Boost,Boost Air Temp.,Throttle Position,Wastegate Duty,Actual AFR,Engine Speed,Fuel Inj. Amt.,HPFP Actual Press.,HPFP Desired Press.,Inj. Duty Cycle,Short Term FT,Intake Valve Adv.,Knock Retard,Spark Adv.
0.120,0.32,69,0.00,29,1.83,11,-0.45,73,9,1,0.98,1450,1.71,6400,8440,2.59,0.78,0,0.00,39.50
0.240,0.37,69,0.00,29,1.82,12,-0.39,73,9,1,1.01,1483,1.83,7530,8710,3.02,0.78,1,0.00,37.00
0.359,0.38,69,0.00,29,1.80,12,-0.38,73,9,1,1.04,1488,1.91,8450,8850,3.22,3.91,10,0.00,36.00
0.480,0.39,69,0.00,29,1.80,12,-0.38,73,9,1,1.09,1508,1.99,8790,8780,3.39,9.38,13,0.00,37.00
0.600,0.39,70,0.00,30,1.81,12,-0.38,73,9,1,1.09,1484,2.02,8590,8710,3.44,11.72,12,0.00,38.00
0.720,0.38,70,0.00,30,1.79,12,-0.41,73,9,1,1.06,1530,2.01,8660,8570,3.60,14.06,11,0.00,38.50
0.840,0.38,70,0.00,30,1.79,11,-0.39,73,9,1,1.04,1486,2.02,8570,8570,3.44,14.84,11,0.00,39.00
0.960,0.38,70,0.00,30,1.80,12,-0.39,73,9,1,1.03,1546,2.07,8470,8640,3.66,14.84,11,0.00,39.50
1.080,0.38,70,0.00,30,1.79,12,-0.41,73,9,1,1.02,1554,2.07,8540,8500,3.76,17.97,10,0.00,39.00
1.200,0.38,70,0.00,31,1.80,12,-0.40,73,9,1,1.01,1544,2.05,8590,8500,3.65,17.19,9,0.00,39.00
1.320,0.38,70,0.00,31,1.80,12,-0.40,73,9,1,0.99,1551,2.01,8450,8440,3.67,17.19,9,0.00,39.50
1.440,0.37,70,0.00,31,1.79,11,-0.40,73,9,1,0.98,1575,1.98,8490,8440,3.62,17.19,10,0.00,39.50
1.560,0.37,70,0.00,31,1.78,12,-0.41,72,8,1,0.99,1559,1.98,8370,8370,3.56,17.19,9,0.00,40.00
1.680,0.37,70,0.00,31,1.79,12,-0.41,72,9,1,1.00,1577,1.97,8330,8370,3.63,17.97,9,0.00,40.50
1.801,0.37,70,0.00,31,1.79,12,-0.41,72,9,1,0.99,1599,2.14,8330,8230,3.65,17.97,9,0.00,40.50
1.920,0.36,70,0.00,32,1.80,11,-0.41,72,9,1,0.99,1600,2.18,8260,8370,4.00,17.19,10,0.00,41.00
2.040,0.37,70,0.00,32,1.80,12,-0.42,72,9,1,0.98,1612,1.95,8200,8370,4.03,17.19,9,0.00,41.00
2.160,0.36,70,0.00,32,1.81,12,-0.41,72,9,1,0.95,1623,1.96,8280,8440,3.71,17.19,9,0.00,41.00
2.280,0.37,70,0.00,32,1.83,12,-0.41,72,9,1,0.97,1646,2.00,8380,8500,3.76,16.41,9,0.00,40.00
2.400,0.38,70,0.00,33,1.85,13,-0.39,72,9,1,0.99,1639,2.06,8350,8710,3.82,16.41,9,0.00,39.50
2.520,0.39,70,0.00,33,1.87,14,-0.38,72,9,1,1.00,1672,2.10,8450,8850,4.04,16.41,10,0.00,39.00
2.642,0.40,70,0.00,33,1.87,13,-0.37,71,9,1,1.01,1656,2.12,8850,8910,4.06,16.41,11,0.00,39.00
2.760,0.40,70,0.00,33,1.91,14,-0.36,71,10,1,1.02,1682,2.18,8790,9050,4.20,17.19,12,0.00,39.00
2.880,0.41,70,0.00,33,1.91,14,-0.34,71,10,1,1.02,1707,2.20,8970,9120,4.38,17.19,12,0.00,39.00
