Time (sec),Accel. Pedal Pos. (%),Actual AFR (AFR),Boost (psi),Boost Air Temp. (F),Calculated Load (Load),Coolant Temp. (F),HPFP Act. Press. (psi),Inj. Duty Cycle (%),Intake Temp. (F),Intake Valve Adv. (°),Knock Retard (°),Long Term FT (%),MAF Voltage (V),Mass Airflow (g/s),RPM (RPM),Short Term FT (%),Spark Adv. (°),Throttle Position (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-MAZ-002 v1.7.4.0-18132][USDM 2007/2008 MAZDASPEED3 (Fed.)][Reflash: Stage3 93 v602.ptm]"
0.000,0,17.05,-8.19,151,0.23,190,567,0.87,113,1,0.00,-0.16,1.30,4.13,837,-15.76,9.00,3,4,0,0
0.003,0,17.05,-8.26,151,0.23,190,550,0.89,113,1,0.00,-0.16,1.30,4.03,845,-14.20,7.50,3,4,0,0
0.084,0,17.05,-8.26,151,0.23,190,529,0.89,113,1,0.00,-0.16,1.29,3.92,845,-13.42,7.50,3,4,0,0
0.205,0,17.05,-8.19,151,0.23,190,516,0.90,113,0,0.00,-0.16,1.29,3.98,850,-12.64,6.50,3,4,0,0
0.322,0,17.05,-8.26,151,0.23,190,505,0.89,113,0,0.00,-0.16,1.30,4.13,838,-11.08,7.50,3,4,0,0
0.441,0,17.05,-8.19,151,0.23,190,502,0.92,113,0,0.00,-0.16,1.31,4.08,850,-10.30,7.00,3,4,0,0
0.583,0,17.05,-8.33,151,0.23,190,509,0.95,113,0,0.00,-0.16,1.30,4.13,856,-9.52,6.00,3,4,0,0
0.684,2,17.05,-8.26,153,0.23,190,512,0.95,113,0,0.00,-0.16,1.31,3.92,856,-8.74,5.50,3,4,0,0
0.804,7,16.90,-7.18,153,0.23,190,508,1.31,113,0,0.00,-0.16,1.56,4.72,853,3.74,11.00,5,4,0,0
0.921,9,16.76,-6.32,153,0.34,190,745,1.70,113,0,0.00,-0.16,1.58,7.57,898,8.42,14.00,6,4,0,0
1.042,9,16.46,-5.75,153,0.38,190,928,2.03,113,0,0.00,-0.16,1.60,7.91,916,10.76,15.50,6,4,0,0
1.159,9,15.73,-5.39,153,0.40,190,1020,2.27,113,0,0.00,-0.16,1.64,8.12,941,10.76,17.00,8,4,0,0
1.279,9,14.99,-5.10,153,0.42,190,1110,2.43,113,0,0.00,-0.16,1.65,8.55,980,10.76,18.50,7,4,0,0
1.413,10,14.41,-4.60,153,0.43,190,1137,2.57,113,3,0.00,-0.16,1.69,9.14,1008,9.98,21.00,7,4,0,0
1.532,12,14.55,-4.67,151,0.45,190,1179,2.78,113,7,0.00,-0.16,1.68,10.18,1058,10.76,25.00,7,5,0,0
1.655,13,14.70,-4.24,151,0.46,190,1182,2.94,113,12,0.00,-0.16,1.76,10.92,1082,11.54,27.00,8,6,0,0
1.772,14,14.99,-4.38,151,0.47,190,1211,3.14,113,16,0.00,-0.16,1.78,11.03,1142,11.54,30.00,9,6,1,0
1.891,15,14.99,-4.24,151,0.47,190,1249,3.45,113,14,0.00,-0.16,1.83,11.90,1221,12.32,33.00,9,6,1,0
2.015,15,14.85,-4.53,149,0.48,190,1337,3.83,113,15,0.00,-0.16,1.83,13.08,1338,12.32,36.00,9,7,1,0
2.132,16,14.85,-4.60,149,0.48,190,1345,4.02,113,16,0.00,-0.16,1.87,13.63,1414,12.32,37.00,10,7,1,0
2.262,18,14.70,-4.24,149,0.49,190,1387,4.32,113,16,0.00,-0.16,1.96,15.33,1471,12.32,37.50,11,7,1,0
2.378,21,14.85,-3.09,147,0.51,190,1414,5.00,113,19,0.00,-0.16,2.06,18.13,1536,13.10,36.00,13,8,1,0
2.490,23,14.41,-2.88,147,0.58,190,1508,6.08,113,20,0.00,-0.16,2.09,21.41,1629,15.44,27.50,14,8,1,0
2.610,23,13.96,-3.16,147,0.62,190,1637,6.57,113,19,0.00,-0.16,2.08,23.93,1786,9.98,24.00,13,9,1,0
2.731,23,13.52,-3.45,145,0.62,190,1617,6.53,113,19,0.00,-0.16,2.10,24.35,1840,6.86,24.00,13,9,1,0
2.852,23,13.67,-4.03,145,0.61,190,1617,6.48,113,20,0.00,-0.16,2.08,24.35,1952,4.52,25.50,12,10,1,0
2.971,23,13.82,-4.38,145,0.56,190,1582,6.16,113,21,0.00,-0.16,2.08,23.51,2034,2.18,28.50,12,11,1,0
3.091,23,13.96,-4.24,145,0.56,190,1556,6.19,113,21,0.00,-0.16,2.13,25.30,2074,0.62,30.50,12,11,1,0
3.211,23,14.26,-4.46,144,0.56,190,1568,6.60,115,20,0.00,-0.16,2.16,26.41,2230,-0.16,29.50,13,12,1,0
3.331,23,14.41,-4.46,144,0.55,190,1598,6.66,115,18,0.00,-0.16,2.17,26.66,2290,-0.16,30.50,13,12,0,0
3.451,23,14.55,-4.46,144,0.54,190,1595,6.65,115,17,0.00,-0.16,2.19,27.03,2332,-0.16,31.50,13,12,0,0
3.580,23,14.85,-4.53,144,0.54,190,1590,6.80,115,16,0.00,-0.16,2.21,27.38,2395,-0.16,32.50,13,13,0,0
3.712,20,14.99,-4.60,144,0.53,190,1588,7.02,115,15,0.35,-0.16,2.20,27.97,2471,0.62,33.00,14,13,0,0
3.826,0,13.96,-8.47,142,0.36,190,1529,4.79,115,1,0.00,-0.16,1.55,8.63,2512,-1.72,42.00,6,14,0,0
3.944,0,13.52,-10.34,142,0.21,190,1453,2.64,115,0,0.00,-0.16,1.74,6.27,2473,-4.84,52.50,3,14,0,0
4.064,0,13.38,-10.84,142,0.23,190,1432,0.00,115,0,0.00,-0.16,1.83,11.68,2434,-0.16,52.50,3,14,0,0
4.180,0,16.32,-10.84,142,0.27,190,1432,0.00,115,0,0.00,-0.16,1.94,14.07,2314,-0.16,52.50,3,14,0,0
4.313,5,21.02,-10.84,142,0.33,190,1434,5.57,115,0,0.00,-0.16,2.01,16.12,2185,-0.16,46.50,3,14,0,0
4.431,12,21.32,-10.27,142,0.43,190,1308,5.47,115,3,0.00,-0.16,2.04,19.30,1962,-0.16,39.50,5,14,1,0
4.549,13,15.58,-8.98,144,0.51,190,1379,4.95,115,14,0.00,-0.16,2.08,21.83,1671,-0.16,38.00,7,14,1,0
4.675,13,11.76,-7.90,144,0.57,190,1514,4.71,117,22,0.00,-0.16,1.98,18.88,1590,-0.16,24.00,7,14,1,0
4.792,14,10.29,-7.25,144,0.52,190,1556,3.59,117,21,0.00,-0.16,1.85,15.46,1602,-15.76,22.50,7,14,1,0
4.915,14,11.02,-6.97,144,0.42,190,1407,3.07,117,21,0.00,-0.16,1.82,12.84,1668,-22.00,40.00,9,14,1,0
5.036,18,13.08,-5.96,145,0.43,190,1352,2.80,117,19,0.00,-0.16,1.93,14.61,1590,-18.10,38.00,10,14,1,0
5.157,23,14.85,-4.24,145,0.48,190,1337,4.25,117,15,0.00,-0.16,2.04,18.88,1652,2.18,34.00,12,14,1,0
5.276,23,16.02,-3.24,145,0.55,190,1449,5.97,117,17,0.00,-0.16,2.10,24.35,1716,8.42,31.50,13,14,1,0
5.393,23,14.41,-2.81,145,0.61,190,1603,6.10,118,19,0.00,-0.16,2.13,23.51,1681,11.54,23.50,13,14,1,0
5.512,23,14.11,-2.73,144,0.66,190,1700,6.39,118,22,0.00,-0.16,2.11,25.00,1756,3.74,20.00,14,14,0,0
5.638,25,13.96,-2.88,144,0.66,190,1684,6.32,118,23,0.00,-0.16,2.14,25.59,1770,2.18,20.50,14,15,0,0
5.750,25,14.11,-2.52,144,0.67,190,1675,6.40,118,23,0.35,-0.16,2.14,26.29,1812,1.40,20.00,14,15,0,0
5.875,25,14.41,-2.73,144,0.65,190,1700,6.42,118,22,0.35,-0.16,2.15,26.04,1850,0.62,21.00,14,16,0,0
5.995,25,14.41,-2.88,144,0.65,190,1693,6.46,118,22,0.35,-0.16,2.16,26.04,1876,0.62,21.50,14,16,0,0
6.115,26,14.55,-2.73,142,0.64,190,1649,6.64,118,22,0.00,-0.16,2.19,27.15,1945,0.62,23.50,14,16,0,0
