Time (sec),Accel. Pedal Pos. (%),Actual AFR (AFR),Battery Volt. (V),Boost (psi),Boost Air Temp. (F),Calculated Load (Load),Coolant Temp. (F),Equiv. Ratio (AFR),Fan Duty (%),Fuel Inj. Amt. (mg/cyl),HPFP Act. Press. (psi),HPFP Des. Press. (psi),HPFP Sens. Volt. (V),Inj. Duty Cycle (%),Inj. Pulse Width (ms),Intake Temp. (F),Intake Valve Adv. (°),Knock Retard (°),Long Term FT (%),MAF Voltage (V),Mass Airflow (g/s),RPM (RPM),Short Term FT (%),Spark Adv. (°),Throttle Duty Cyc. (°),Throttle Position (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-MAZ-002 v1.7.4.0-18132][USDM 2007/2008 MAZDASPEED3 (Fed.)][Reflash: Stage3 93 v605.ptm]"
0.000,12,14.55,13.2,-4.82,100,0.52,180,14.11,0,2,1404,1382,0,3.21,1.39,84,20,0.00,-0.16,1.96,17.88,1382,-3.28,34.00,12,11,2,1,0
0.269,13,15.43,12.9,-3.38,100,0.60,180,14.99,0,3,1411,1313,0,3.84,1.90,84,19,0.00,-0.16,1.87,15.23,1209,5.30,19.00,12,9,3,1,0
0.514,13,14.85,12.9,-3.16,100,0.61,180,14.85,0,3,1215,1155,0,3.33,2.02,84,19,0.00,-0.16,1.74,12.45,991,6.86,16.00,11,8,5,1,0
0.771,14,14.11,13.1,-4.03,100,0.58,180,14.70,0,3,1186,1323,0,3.52,1.87,84,17,0.00,-0.16,1.79,12.30,1128,3.74,20.50,11,8,6,0,0
1.011,15,14.11,13.5,-4.03,99,0.56,180,14.11,0,3,1358,1372,0,3.79,1.78,84,19,0.00,-0.16,1.89,14.87,1275,-0.16,23.50,11,9,7,0,0
1.255,17,14.55,13.5,-3.88,99,0.59,180,14.26,0,3,1521,1540,0,4.46,1.84,84,19,0.00,-0.16,1.96,18.33,1454,-0.94,23.50,13,11,7,0,0
1.494,17,14.41,13.6,-4.46,97,0.55,180,14.70,0,2,1564,1530,0,4.78,1.76,84,20,0.00,-0.16,1.95,17.58,1631,-1.72,27.00,12,10,9,0,0
1.734,17,14.11,13.7,-5.25,97,0.52,180,14.26,0,2,1498,1481,0,4.46,1.56,84,21,0.00,-0.16,1.97,17.73,1714,-4.84,33.00,12,10,9,0,0
1.971,17,14.41,13.8,-6.25,97,0.47,180,13.96,0,2,1397,1403,0,4.15,1.35,86,21,0.00,-0.16,1.94,17.15,1843,-8.74,38.50,12,9,10,0,0
2.211,17,14.55,13.9,-6.54,97,0.45,180,14.55,0,2,1379,1382,0,4.32,1.33,86,21,0.00,-0.16,1.93,17.15,1952,-8.74,39.00,12,9,10,0,0
